iter	RMSE
0	69810.82578
1	67961.20403
2	66147.35699
3	64358.67959
4	62684.41045
5	60947.09513
6	59330.44576
7	57887.56223
8	56434.14058
9	55046.374
10	53771.38351
11	52548.03134
12	51408.34862
13	50274.19229
14	49096.64715
15	48063.15552
16	47043.45367
17	46080.9266
18	45104.85265
19	44216.44338
20	43422.03823
21	42557.94316
22	41750.65246
23	40972.84697
24	40277.05701
25	39628.01052
26	38992.94571
27	38354.32725
28	37736.70453
29	37127.92434
30	36483.86824
31	35957.98497
32	35409.62193
33	34891.91255
34	34357.8193
35	33904.86057
36	33480.33461
37	32971.38174
38	32570.68667
39	32219.34334
40	31838.82731
41	31480.78409
42	31100.42643
43	30750.74347
44	30391.16545
45	30041.45609
46	29779.19919
47	29476.69474
48	29143.14676
49	28884.31618
50	28624.98421
51	28373.89116
52	28151.54928
53	27912.36068
54	27686.41011
55	27471.08865
56	27247.60318
57	27040.83342
58	26858.48318
59	26642.433
60	26484.15174
61	26275.13187
62	26092.02368
63	25976.12608
64	25816.96235
65	25630.02541
66	25467.56099
67	25324.2633
68	25173.90634
69	25017.05424
70	24867.86898
71	24746.51559
72	24628.77441
73	24522.47329
74	24403.71739
75	24291.42311
76	24135.74439
77	24013.09836
78	23899.41624
79	23779.3662
80	23669.54509
81	23571.36297
82	23460.61557
83	23383.49697
84	23264.10266
85	23158.25389
86	23075.00629
87	22988.31263
88	22918.43181
89	22827.76722
90	22753.49028
91	22669.51624
92	22592.98106
93	22527.89699
94	22430.76769
95	22351.00554
96	22279.36837
97	22182.72595
98	22079.27103
99	22039.49493
100	21973.97889
101	21883.13164
102	21792.91211
103	21726.60959
104	21681.90591
105	21644.31117
106	21588.59799
107	21532.91333
108	21471.58453
109	21402.94969
110	21366.523
111	21294.17735
112	21225.92556
113	21164.57441
114	21070.09587
115	21000.51109
116	20951.90199
117	20915.21091
118	20875.27961
119	20817.92804
120	20750.42889
121	20712.20329
122	20666.05089
123	20615.69705
124	20562.86179
125	20521.95611
126	20475.61448
127	20437.43115
128	20379.63308
129	20347.2994
130	20310.07045
131	20260.32893
132	20211.47112
133	20179.14314
134	20123.64829
135	20097.59981
136	20072.92968
137	20030.63006
138	19999.48984
139	19961.1845
140	19926.16806
141	19868.38657
142	19832.05953
143	19805.64074
144	19771.68602
145	19729.44473
146	19686.67713
147	19629.25718
148	19608.62244
149	19571.66034
150	19529.84372
151	19508.73657
152	19467.77333
153	19436.59189
154	19404.77076
155	19373.15375
156	19336.3436
157	19297.63
158	19266.35804
159	19251.4345
160	19228.12249
161	19185.6589
162	19159.5324
163	19121.49815
164	19091.51679
165	19077.35543
166	19062.89386
167	19038.79881
168	18999.0133
169	18966.52844
170	18933.26748
171	18914.45195
172	18872.7208
173	18831.11724
174	18815.35635
175	18782.14144
176	18746.99971
177	18717.31438
178	18695.725
179	18653.22617
180	18613.5493
181	18549.06036
182	18531.97295
183	18496.43754
184	18477.63771
185	18447.61879
186	18438.94368
187	18398.81012
188	18371.37009
189	18345.54661
190	18321.7606
191	18305.86237
192	18282.16233
193	18245.58462
194	18241.4256
195	18208.61827
196	18191.13251
197	18153.48649
198	18127.0991
199	18094.26229
200	18064.36647
201	18056.08756
202	18020.82333
203	17988.64122
204	17960.52821
205	17954.16813
206	17911.56777
207	17903.53554
208	17874.00646
209	17860.88698
210	17837.7754
211	17815.55871
212	17802.40405
213	17780.0955
214	17756.44088
215	17754.00544
216	17735.10977
217	17715.92417
218	17689.95372
219	17661.19079
220	17652.21956
221	17634.4363
222	17625.92554
223	17586.75593
224	17573.22098
225	17548.79619
226	17529.40149
227	17503.10218
228	17477.0617
229	17452.47556
230	17440.73362
231	17432.76571
232	17414.50949
233	17407.06327
234	17384.45947
235	17372.05632
236	17366.69236
237	17355.51808
238	17344.05376
239	17340.88109
240	17338.6162
241	17336.8366
242	17314.24596
243	17285.02693
244	17279.66026
245	17272.04448
246	17250.91698
247	17227.39226
248	17223.2392
249	17213.07107
250	17188.40052
251	17177.21599
252	17170.34343
253	17142.4469
254	17127.12566
255	17106.88603
256	17071.54634
257	17060.8545
258	17031.69998
259	17027.77191
260	17008.5849
261	16997.96033
262	16993.32439
263	16979.29608
264	16959.50567
265	16957.94483
266	16923.01014
267	16907.49717
268	16894.08681
269	16872.09701
270	16851.97298
271	16849.29492
272	16824.82448
273	16821.25297
274	16804.89268
275	16803.31409
276	16771.34058
277	16748.91746
278	16716.96813
279	16680.92077
280	16664.18264
281	16646.72093
282	16637.51227
283	16614.06515
284	16598.85248
285	16578.83474
286	16560.06799
287	16540.62685
288	16532.44581
289	16530.61678
290	16503.79845
291	16498.11378
292	16478.00226
293	16450.64428
294	16431.35389
295	16426.52817
296	16422.86915
297	16408.90939
298	16386.8134
299	16366.60181
300	16364.94755
301	16336.82833
302	16322.39842
303	16302.10899
304	16297.08394
305	16264.90465
306	16241.48077
307	16217.9616
308	16199.06971
309	16181.02738
310	16142.14768
311	16134.60655
312	16117.93681
313	16097.85941
314	16078.68206
315	16066.83575
316	16062.01936
317	16038.9887
318	16035.12836
319	16011.00384
320	15988.78185
321	15974.91509
322	15966.01555
323	15960.24008
324	15930.72759
325	15893.08416
326	15879.04263
327	15863.27145
328	15859.64569
329	15849.68292
330	15844.12251
331	15833.0329
332	15828.6389
333	15805.44204
334	15803.20214
335	15778.67254
336	15761.80461
337	15739.81168
338	15728.52978
339	15707.21072
340	15685.98552
341	15669.2825
342	15652.57864
343	15645.69488
344	15625.6194
345	15594.26046
346	15580.46855
347	15562.71198
348	15550.91795
349	15532.25672
350	15514.26588
351	15510.27654
352	15494.54093
353	15479.80351
354	15455.01989
355	15425.99018
356	15408.93454
357	15394.29765
358	15374.38976
359	15359.69311
360	15340.45624
361	15311.30927
362	15282.54625
363	15269.21297
364	15234.49389
365	15210.17797
366	15193.59944
367	15178.3443
368	15151.01617
369	15134.4384
370	15109.87777
371	15100.6354
372	15072.09102
373	15070.00142
374	15066.47009
375	15049.67487
376	15034.42464
377	15004.67318
378	15001.42142
379	14987.9246
380	14976.61125
381	14974.3057
382	14970.92956
383	14952.37443
384	14935.62159
385	14924.599
386	14910.6332
387	14899.97053
388	14891.00706
389	14880.03835
390	14856.78983
391	14833.95429
392	14817.58027
393	14801.11553
394	14787.83546
395	14775.43863
396	14772.20232
397	14751.02192
398	14737.34512
399	14713.98899
400	14697.36064
401	14687.00171
402	14664.77005
403	14649.62072
404	14627.81347
405	14625.07055
406	14622.59714
407	14612.73063
408	14595.02957
409	14583.85615
410	14582.01535
411	14557.79067
412	14556.68751
413	14544.53091
414	14510.26228
415	14487.28753
416	14472.14775
417	14469.89168
418	14451.43173
419	14433.0738
420	14423.53764
421	14403.00644
422	14384.38792
423	14360.8032
424	14349.37604
425	14338.82374
426	14336.6479
427	14325.98913
428	14312.77163
429	14304.93836
430	14293.76844
431	14268.96212
432	14266.09239
433	14246.28173
434	14238.56352
435	14225.56217
436	14207.19066
437	14199.7097
438	14184.70424
439	14166.89859
440	14146.98046
441	14135.46301
442	14127.24801
443	14107.04892
444	14105.50193
445	14096.88791
446	14076.74381
447	14061.21478
448	14034.14861
449	14019.93474
450	14004.06101
451	13993.10985
452	13968.85796
453	13957.84833
454	13951.00914
455	13933.68587
456	13917.06486
457	13897.84712
458	13882.2323
459	13859.61391
460	13857.26221
461	13852.1405
462	13837.55183
463	13831.12184
464	13826.40903
465	13805.92379
466	13783.96525
467	13781.54381
468	13779.40796
469	13774.37148
470	13760.45571
471	13749.28412
472	13736.55652
473	13725.66928
474	13714.18382
475	13701.69781
476	13688.17869
477	13669.78899
478	13645.14387
479	13636.57269
480	13634.36319
481	13621.58102
482	13620.51275
483	13614.26898
484	13603.39009
485	13601.21173
486	13599.7791
487	13598.57143
488	13590.85279
489	13584.40693
490	13572.71081
491	13547.66854
492	13545.358
493	13539.95074
494	13530.06529
495	13514.99582
496	13501.83011
497	13484.46473
498	13473.19561
499	13467.44694
500	13451.06498
501	13435.08954
502	13433.33233
503	13417.2822
504	13393.99554
505	13389.3482
506	13368.65038
507	13367.39335
508	13359.34419
509	13348.15036
510	13335.94756
511	13321.2692
512	13313.65988
513	13299.03589
514	13293.63542
515	13283.32681
516	13268.22641
517	13259.23884
518	13247.51434
519	13236.95974
520	13233.6346
521	13209.11891
522	13196.93435
523	13195.26239
524	13183.2734
525	13165.1894
526	13148.95566
527	13144.5993
528	13134.75877
529	13114.94633
530	13099.65689
531	13098.51309
532	13086.08352
533	13075.36348
534	13054.52736
535	13052.97398
536	13048.87997
537	13033.09169
538	13030.02939
539	13008.48526
540	13007.00326
541	12988.96282
542	12987.64424
543	12986.57581
544	12980.12573
545	12976.03158
546	12959.22504
547	12958.16044
548	12951.24694
549	12941.42656
550	12938.52865
551	12935.77111
552	12917.8825
553	12905.9284
554	12883.78617
555	12879.84518
556	12878.03762
557	12877.23058
558	12869.50158
559	12866.46007
560	12863.71438
561	12858.33132
562	12856.62231
563	12836.65798
564	12826.40442
565	12807.06443
566	12804.12201
567	12794.25994
568	12790.83064
569	12789.91332
570	12789.13376
571	12783.97546
572	12783.29574
573	12767.40633
574	12757.35446
575	12747.18902
576	12730.14091
577	12709.7544
578	12704.31866
579	12703.56269
580	12695.80513
581	12694.95301
582	12676.42006
583	12671.60726
584	12667.02881
585	12656.46982
586	12640.398
587	12626.39199
588	12616.71792
589	12614.63285
590	12607.50863
591	12594.94613
592	12591.75278
593	12582.03894
594	12572.41027
595	12571.28
596	12570.49222
597	12566.31392
598	12561.25219
599	12551.95452
600	12550.79139
601	12536.49184
602	12532.18184
603	12520.08435
604	12519.43452
605	12507.65247
606	12499.29249
607	12485.84322
608	12475.69354
609	12465.10055
610	12464.42077
611	12448.77403
612	12447.92541
613	12441.00454
614	12434.10378
615	12433.26078
616	12430.64405
617	12421.41401
618	12404.90219
619	12388.49084
620	12383.18893
621	12381.97866
622	12378.86276
623	12372.01908
624	12362.02956
625	12361.37604
626	12359.8603
627	12341.85748
628	12321.86746
629	12313.51835
630	12303.36757
631	12286.277
632	12272.63001
633	12258.98435
634	12255.16827
635	12254.51045
636	12241.61811
637	12235.44268
638	12222.41265
639	12217.06945
