iter	Passed	Remaining
0	2	2274
1	4	2214
2	6	2097
3	8	2024
4	9	1964
5	11	1940
6	13	1941
7	15	1920
8	17	1889
9	18	1875
10	20	1867
11	22	1862
12	24	1863
13	26	1869
14	28	1869
15	30	1863
16	32	1863
17	34	1857
18	36	1859
19	37	1814
20	39	1825
21	41	1840
22	43	1845
23	45	1841
24	47	1841
25	49	1838
26	51	1839
27	52	1836
28	54	1840
29	56	1836
30	58	1835
31	60	1834
32	62	1836
33	64	1837
34	66	1833
35	68	1838
36	70	1838
37	72	1840
38	74	1840
39	76	1839
40	78	1838
41	80	1837
42	82	1836
43	84	1842
44	86	1842
45	88	1844
46	90	1843
47	92	1841
48	94	1842
49	96	1842
50	99	1842
51	101	1842
52	103	1841
53	105	1839
54	106	1838
55	108	1836
56	110	1835
57	113	1839
58	115	1840
59	117	1838
60	119	1840
61	121	1839
62	123	1837
63	125	1836
64	127	1834
65	129	1834
66	131	1835
67	133	1835
68	136	1835
69	138	1834
70	140	1832
71	142	1832
72	143	1824
73	145	1825
74	148	1828
75	150	1827
76	152	1826
77	154	1826
78	156	1826
79	158	1826
80	160	1825
81	162	1823
82	164	1822
83	167	1824
84	169	1826
85	172	1828
86	174	1829
87	176	1830
88	178	1830
89	180	1830
90	183	1830
91	186	1836
92	188	1835
93	190	1837
94	192	1837
95	196	1847
96	198	1850
97	201	1855
98	203	1855
99	206	1858
100	208	1858
101	211	1860
102	213	1862
103	216	1861
104	218	1859
105	220	1861
106	223	1862
107	225	1862
108	227	1862
109	230	1865
110	233	1867
111	235	1869
112	238	1871
113	241	1874
114	243	1875
115	246	1876
116	249	1883
117	252	1885
118	254	1886
119	257	1886
120	259	1885
121	261	1884
122	264	1884
123	266	1883
124	269	1883
125	271	1882
126	273	1880
127	276	1880
128	278	1879
129	280	1877
130	282	1876
131	285	1874
132	287	1873
133	289	1872
134	292	1870
135	294	1869
136	296	1868
137	299	1867
138	301	1867
139	303	1866
140	306	1865
141	308	1863
142	310	1861
143	313	1861
144	315	1860
145	317	1859
146	320	1859
147	322	1858
148	325	1857
149	327	1857
150	330	1857
151	332	1856
152	335	1854
153	337	1854
154	340	1853
155	342	1853
